,DEPCOM,MACROZONE,Macro_agre,NOM,POP2010,POP2011
516,77517,77,,Villevaud?,1731,2027
517,77518,77,,Villiers-en-Bi?re,215,218
518,77519,77,,Villiers-Saint-Georges,1213,1205
519,77520,77,,Villiers-sous-Grez,750,750
520,77521,77,,Villiers-sur-Morin,1849,1882
521,77522,77,,Villiers-sur-Seine,308,303
522,77523,77,,Villuis,256,260
523,77524,77,,Vimpelles,503,503
524,77525,77,,Vinantes,348,355
525,77526,77,,Vincy-Manoeuvre,212,209
526,77527,77,,Voinsles,576,584
527,77528,77,,Voisenon,1046,1027
528,77529,77,,Voulangis,1537,1546
529,77530,77,,Voulton,304,301
530,77531,77,,Voulx,1750,1745
531,77532,P - Provins,,Vulaines-l?s-Provins,65,67
532,77533,77,,Vulaines-sur-Seine,2594,2640
533,77534,P - Provins,,Y?bles,659,664
534,78003,78,,Ablis,3287,3260
535,78005,78,,Ach0res,19626,19606
536,78006,78,,Adainville,759,753
537,78007,78,,Aigremont,1099,1105
538,78009,78,,Allainville,302,298
539,78010,78,,Les Alluets-le-Roi,1203,1211
540,78013,78,,Andelu,493,485
541,78015,78,,Andr5sy,12174,11980
542,78020,78,,Arnouville-l?s-Mantes,852,864
543,78029,78,,Aubergenville,12020,11867
544,78030,78,,Auffargis,2005,1991
545,78031,78,,Auffreville-Brasseuil,586,595
546,78033,78,,Aulnay-sur-Mauldre,1158,1156
547,78034,78,,Auteuil,858,869
548,78036,78,,Autouillet,474,475
549,78043,78,,Bailly,3914,3902
550,78048,78,,Bazainville,1425,1442
551,78049,78,,Bazemont,1521,1517
552,78050,78,,Bazoches-sur-Guyonne,591,579
553,78053,78,,B?houst,476,482
554,78057,78,,Bennecourt,1810,1812
555,78062,78,,Beynes,7678,7676
556,78068,78,,Blaru,929,927
557,78070,78,,Boinville-en-Mantois,312,321
558,78071,78,,Boinville-le-Gaillard,617,616
559,78072,78,,Boinvilliers,268,264
560,78073,78,,Bois-d'Arcy,13693,13788
561,78076,78,,Boissets,272,267
562,78077,78,,La Boissi?re-?cole,769,750
563,78082,78,,Boissy-Mauvoisin,624,624
564,78084,78,,Boissy-sans-Avoir,586,578
565,78087,78,,Bonnelles,1913,1922
566,78089,78,,Bonni?res-sur-Seine,4344,4427
567,78090,78,,Bouafle,2132,2106
568,78092,78,,Bougival,8447,8472
569,78096,78,,Bourdonn?,490,502
570,78104,78,,Breuil-Bois-Robert,709,713
571,78107,78,,Br?val,1979,1942
572,78108,78,,Les Br?viaires,1261,1256
573,78113,78,,Brueil-en-Vexin,687,683
574,78117,78,,Buc,5312,5245
575,78118,78,,Buchelay,2346,2406
576,78120,78,,Bullion,1951,1951
577,78123,78,,Carri?res-sous-Poissy,15234,15453
578,78124,78,,Carri?res-sur-Seine,15473,15441
579,78125,78,,La Celle-les-Bordes,934,909
580,78126,78,,La Celle-Saint-Cloud,20971,21181
581,78128,78,,Cernay-la-Ville,1643,1642
582,78133,78,,Chambourcy,5872,5845
583,78138,78,,Chanteloup-les-Vignes,9626,9614
584,78140,78,,Chapet,1180,1195
585,78143,78,,Ch?teaufort,1429,1415
586,78146,78,,Chatou,30173,30281
587,78147,78,,Chaufour-l?s-Bonni?res,422,433
588,78152,78,,Chavenay,1863,1892
589,78158,78,,Le Chesnay,28975,29226
590,78160,78,,Chevreuse,5768,5808
591,78162,78,,Choisel,525,535
592,78163,78,,Civry-la-For?t,357,370
593,78164,78,,Clairefontaine-en-Yvelines,790,808
