stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87448159,"Gare de Vire",,48.84635383,-0.88316925,,,1,
StopArea:OCE87447698,"Gare de Villedieu (Gare)",,48.83415156,-1.22545495,,,1,
StopArea:OCE87447649,"Gare de Folligny",,48.82915304,-1.40639963,,,1,
StopArea:OCE87447680,"Gare de Granville",,48.83884408,-1.58677824,,,1,
StopArea:OCE87393009,"Gare de Versailles-Chantiers",,48.79556635,2.13546496,,,1,
StopArea:OCE87592006,"Gare de Limoges-Bénédictins",,45.8362085,1.26745216,,,1,
StopArea:OCE87592725,"Gare de Nexon",,45.69153438,1.17842764,,,1,
StopArea:OCE87595124,"Gare de Thiviers",,45.41895401,0.92134903,,,1,
StopArea:OCE87595009,"Gare de Périgueux",,45.18716358,0.70718103,,,1,
StopArea:OCE87595298,"Gare de Mussidan",,45.03437441,0.35406623,,,1,
StopArea:OCE87584516,"Gare de Coutras",,45.03665435,-0.13142905,,,1,
StopArea:OCE87584052,"Gare de Libourne",,44.91588446,-0.23636765,,,1,
StopArea:OCE87420596,"Gare de Cenon",,44.85676804,-0.5336025,,,1,
StopArea:OCE87581009,"Gare de Bordeaux-St-Jean",,44.82653979,-0.55619406,,,1,
StopArea:OCE87594093,"Gare de Ussel",,45.55732582,2.31443298,,,1,
StopArea:OCE87594275,"Gare de Meymac",,45.53024069,2.16387982,,,1,
StopArea:OCE87594168,"Gare de Egletons",,45.40231499,2.0651445,,,1,
StopArea:OCE87594135,"Gare de Montaignac-St-Hippolyte",,45.35459184,1.97953393,,,1,
StopArea:OCE87594119,"Gare de Corrèze",,45.32933741,1.88038455,,,1,
StopArea:OCE87594499,"Gare de Tulle",,45.25870783,1.75643144,,,1,
StopArea:OCE87594481,"Gare de Cornil",,45.2152754,1.69740929,,,1,
StopArea:OCE87594465,"Gare de Aubazine-St-Hilaire",,45.18176406,1.64172512,,,1,
StopArea:OCE87594002,"Gare de Brive-la-Gaillarde",,45.15256243,1.52862252,,,1,
StopArea:OCE87594408,"Gare de Terrasson",,45.13567988,1.30050886,,,1,
StopArea:OCE87594382,"Gare de Condat-le-Lardin",,45.12671615,1.22665077,,,1,
StopArea:OCE87595579,"Gare de Thenon",,45.16007363,1.06862317,,,1,
StopArea:OCE87595512,"Gare de Niversac",,45.13818709,0.80812721,,,1,
StopArea:OCE87595223,"Gare de Razac",,45.16589441,0.59921102,,,1,
StopArea:OCE87595249,"Gare de St-Astier",,45.13901109,0.52281935,,,1,
StopArea:OCE87595264,"Gare de St-Léon-de-L'Isle",,45.12313432,0.49196981,,,1,
StopArea:OCE87595272,"Gare de Neuvic (Dordogne)",,45.09994805,0.44502055,,,1,
StopArea:OCE87595322,"Gare de Montpon-Ménestérol",,45.0062787,0.15933913,,,1,
StopArea:OCE87584615,"Gare de St-Seurin-sur-l'Isle",,45.01145898,-0.00189882,,,1,
StopArea:OCE87584607,"Gare de St-Médard-de-Guizières",,45.01552306,-0.04889849,,,1,
StopArea:OCE87681007,"Gare de Corbeil-Essonnes",,48.61411793,2.47389296,,,1,
StopArea:OCE87682542,"Gare de St-Fargeau",,48.56455088,2.54245767,,,1,
StopArea:OCE87682526,"Gare de Ponthierry-Pringy",,48.53500742,2.54460207,,,1,
StopArea:OCE87682518,"Gare de Boissise-le-Roi",,48.52967102,2.57163704,,,1,
StopArea:OCE87682500,"Gare de Vosves",,48.51497812,2.59909325,,,1,
StopArea:OCE87682005,"Gare de Melun",,48.52759664,2.65539176,,,1,
StopArea:OCE87681601,"Gare de Essonnes-Robinson",,48.60594931,2.46351582,,,1,
StopArea:OCE87681619,"Gare de Villabé",,48.59282713,2.46153267,,,1,
StopArea:OCE87681627,"Gare de Le Plessis-Chenet",,48.57324597,2.47962426,,,1,
StopArea:OCE87990630,"Le Coudray-Montceaux-J.",,48.56636156,2.49274348,,,1,
StopArea:OCE87681635,"Gare de Coudray-Montceaux",,48.56636156,2.49274348,,,1,
StopArea:OCE87681403,"Gare de Moulin-Galant",,48.58615298,2.4734403,,,1,
StopArea:OCE87681411,"Gare de Mennecy",,48.57106327,2.43325189,,,1,
StopArea:OCE87681437,"Gare de Ballancourt",,48.53243334,2.37128293,,,1,
StopArea:OCE87681452,"Gare de La Ferté-Alais",,48.48514198,2.35200853,,,1,
StopArea:OCE87723197,"Gare de Lyon-Part-Dieu",,45.7605853,4.85943505,,,1,
StopArea:OCE87722587,"Gare de Vienne",,45.5212139,4.87430509,,,1,
StopArea:OCE87722678,"Gare de Le Péage-de-Roussillon",,45.3716591,4.79540767,,,1,
StopArea:OCE87761163,"Gare de Tain",,45.07218091,4.839746,,,1,
StopArea:OCE87761007,"Gare de Valence-Ville",,44.92807044,4.89329483,,,1,
StopArea:OCE87764001,"Gare de Montélimar",,44.55899966,4.74478967,,,1,
StopArea:OCE87764308,"Gare de Pierrelatte",,44.37457152,4.70375939,,,1,
StopArea:OCE87764357,"Gare de Bollène-la-Croisière",,44.27153644,4.70795431,,,1,
StopArea:OCE87765107,"Gare de Orange",,44.13730527,4.81949522,,,1,
StopArea:OCE87761494,"Gare de St-Peray",,44.94809055,4.85024963,,,1,
StopArea:OCE87764472,"Gare de Le Teil",,44.55257034,4.68599084,,,1,
StopArea:OCE87765008,"Gare de Avignon-Centre",,43.94187716,4.80526228,,,1,
StopArea:OCE87753657,"Gare de Arles",,43.6848436,4.63201884,,,1,
StopArea:OCE87753004,"Gare de Miramas",,43.58074022,4.99960212,,,1,
StopArea:OCE87439554,"Gare de Vitrolles-Aér-Marseille",,43.44248844,5.23712179,,,1,
StopArea:OCE87751008,"Gare de Marseille-St-Charles",,43.30272986,5.38064989,,,1,
StopArea:OCE87396002,"Gare de Le Mans",,47.99558372,0.19214284,,,1,
StopArea:OCE87396366,"Gare de La Suze",,47.89224396,0.02655757,,,1,
StopArea:OCE87396408,"Gare de Sablé-sur-Sarthe",,47.84171822,-0.3420485,,,1,
StopArea:OCE87484170,"Gare de Morannes",,47.73901978,-0.41819584,,,1,
StopArea:OCE87484154,"Gare de Etriché-Chateauneuf",,47.65671753,-0.46085178,,,1,
StopArea:OCE87484147,"Gare de Tiercé",,47.61753175,-0.46943641,,,1,
StopArea:OCE87484139,"Gare de Le Vieux-Briollay",,47.57362252,-0.48307833,,,1,
StopArea:OCE87484006,"Gare de Angers-St-Laud",,47.46443417,-0.55694922,,,1,
StopArea:OCE87481192,"Gare de Ancenis",,47.36945783,-1.17760826,,,1,
StopArea:OCE87481002,"Gare de Nantes",,47.21750472,-1.54192517,,,1,
StopArea:OCE87734004,"Gare de Clermont-Ferrand",,45.77856939,3.10051901,,,1,
StopArea:OCE87734053,"Gare de Riom-Châtel-Guyon",,45.88984232,3.1208132,,,1,
StopArea:OCE87732008,"Gare de Vichy",,46.12697018,3.43048945,,,1,
StopArea:OCE87726802,"Gare de Roanne",,46.04021151,4.06313483,,,1,
StopArea:OCE87721472,"Gare de Tarare",,45.88978808,4.43907466,,,1,
StopArea:OCE87722025,"Gare de Lyon-Perrache",,45.74849243,4.82574778,,,1,
StopArea:OCE87686667,"Gare de Paris-Bercy",,48.83921134,2.38279865,,,1,
StopArea:OCE87683003,"Gare de Sens",,48.19803807,3.26732686,,,1,
StopArea:OCE87683243,"Gare de Joigny",,47.97383302,3.3929555,,,1,
StopArea:OCE87683268,"Gare de Laroche-Migennes",,47.96085339,3.5129407,,,1,
StopArea:OCE87683318,"Gare de St-Florentin-Vergigny",,47.9804146,3.73094939,,,1,
StopArea:OCE87713198,"Gare de Tonnerre",,47.85960283,3.97349584,,,1,
StopArea:OCE87713156,"Gare de Nuits-sous-Ravières",,47.72921002,4.21126636,,,1,
StopArea:OCE87713131,"Gare de Montbard",,47.61871969,4.33615203,,,1,
StopArea:OCE87713115,"Gare de Les Laumes-Alésia",,47.54331945,4.46286849,,,1,
StopArea:OCE87713040,"Gare de Dijon-Ville",,47.32340388,5.02727989,,,1,
StopArea:OCE87713545,"Gare de Beaune",,47.0230407,4.8487235,,,1,
StopArea:OCE87713578,"Gare de Chagny",,46.90742848,4.74965004,,,1,
StopArea:OCE87725002,"Gare de Chalon-sur-Saône",,46.7815704,4.84348859,,,1,
StopArea:OCE87725622,"Gare de Tournus",,46.56671912,4.90652183,,,1,
StopArea:OCE87725689,"Gare de Mâcon-Ville",,46.30265933,4.82514854,,,1,
StopArea:OCE87721357,"Gare de Belleville-sur-Saône",,46.11194196,4.72900204,,,1,
StopArea:OCE87721332,"Gare de Villefranche-sur-Saône",,45.98444369,4.7208137,,,1,
StopArea:OCE87721282,"Gare de St-Germain-au-Mont-d'Or",,45.88844225,4.80417584,,,1,
StopArea:OCE87686006,"Gare de Paris-Gare-de-Lyon",,48.84492163,2.37346237,,,1,
StopArea:OCE87391003,"Gare de Paris-Montparnasse 1-2",,48.84062983,2.31989439,,,1,
StopArea:OCE87393314,"Gare de Rambouillet",,48.64378766,1.83120236,,,1,
StopArea:OCE87393348,"Gare de Gazeran",,48.62595902,1.77276869,,,1,
StopArea:OCE87394114,"Gare de Epernon",,48.60515482,1.68141775,,,1,
StopArea:OCE87394130,"Gare de Maintenon",,48.58536431,1.59245486,,,1,
StopArea:OCE87394148,"Gare de St-Piat",,48.54244093,1.59010245,,,1,
StopArea:OCE87394155,"Gare de Jouy",,48.51018979,1.55749561,,,1,
